snapshot_id,pipeline,fenetre_debut,fenetre_fin,version_collecte,annonce_id,url,modele,annee,type_connexion,segment,energie,reservation_instantanee,prix_jour,prix_heure,note,nb_avis,commune_recherche,commune_annonce,communes_recherche,nb_communes_matchees,rang_resultat,livraison_disponible,mon_vehicule,compte_proprietaire
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1780427,https://fr.getaround.com/location-voiture/epinay-sur-seine/citroen-c3-1780427?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Citroen C3,2022,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,76.0,,4.76,21,Asnières-sur-Seine,Epinay Sur Seine,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1670817,https://fr.getaround.com/location-voiture/paris/peugeot-208-1670817?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Peugeot 208,2025,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,84.0,,4.46,39,Puteaux,Paris,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,563736,https://fr.getaround.com/location-voiture/paris/renault-clio-563736?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Renault Clio,2014,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,54.0,,4.16,196,Asnières-sur-Seine,Paris,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1483800,https://fr.getaround.com/location-voiture/paris/renault-twingo-iii-1483800?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Renault Twingo III,2020,GETAROUND CONNECT,MICRO_CITADINE,THERMIQUE,,,deduite,False,65.0,,4.81,54,Puteaux,Paris,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1504247,https://fr.getaround.com/location-voiture/paris/peugeot-3008-1504247?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Peugeot 3008,2023,GETAROUND CONNECT,SUV_COMPACT,THERMIQUE,,,deduite,False,142.0,,4.96,25,Puteaux,Paris,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1694498,https://fr.getaround.com/location-voiture/paris/peugeot-308-sw-1694498?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Peugeot 308 SW,2021,GETAROUND CONNECT,BREAK,THERMIQUE,,,deduite,False,59.0,,3.76,17,Asnières-sur-Seine,Paris,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1932353,https://fr.getaround.com/location-voiture/rueil-malmaison/peugeot-208-1932353?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Peugeot 208,2019,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,75.0,,,,Puteaux,Rueil Malmaison,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1765403,https://fr.getaround.com/location-voiture/enghien-les-bains/citroen-c3-1765403?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Citroen C3,2020,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,69.0,,5.0,5,Asnières-sur-Seine,Enghien Les Bains,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1631669,https://fr.getaround.com/location-voiture/boulogne-billancourt/opel-corsa-1631669?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Opel Corsa,2024,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,84.0,,4.92,64,Puteaux,Boulogne Billancourt,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1893769,https://fr.getaround.com/location-voiture/boulogne-billancourt/volkswagen-golf-1893769?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Volkswagen Golf,2012,Sur rendez-vous,COMPACTE,THERMIQUE,,,deduite,False,50.0,,5.0,1,Puteaux,Boulogne Billancourt,Puteaux
