snapshot_id,pipeline,version_collecte,fenetre_debut,fenetre_fin,annonce_id,url,modele,annee,type_connexion,segment,source_taxonomie,energie,reservation_instantanee,prix_jour,prix_heure,note,nb_avis,commune_recherche,commune_annonce,communes_recherche,nb_communes_matchees,rang_resultat,livraison_disponible,mon_vehicule,compte_proprietaire,distance_recherche,nb_resultats_total,nb_clics_pagination
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1832158,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1832158,Renault Clio (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,61.0,,3.5,2,Puteaux,Puteaux,Puteaux|Paris 17e,2,1,False,True,C3,400,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1743643,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1743643,Renault Clio (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,64.0,,5.0,3,Puteaux,Puteaux,Puteaux|Paris 17e,2,2,False,True,C3,480,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1935525,https://fr.getaround.com/location-voiture/puteaux/peugeot-208-1935525,Peugeot 208 (2016),2016,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,68.0,,,,Puteaux,Puteaux,Puteaux|Paris 17e,2,3,False,True,C3,480,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1881481,https://fr.getaround.com/location-voiture/puteaux/citroen-c1-1881481,Citroen C1 (2016),2016,Getaround Connect,MICRO_CITADINE,SEGMENT_RULES,THERMIQUE,True,66.0,,5.0,2,Puteaux,Puteaux,Puteaux|Paris 17e,2,9,False,True,C2,480,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1078506,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1078506,Renault Clio (2011),2011,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,False,65.0,,4.79,21,Puteaux,Puteaux,Puteaux|Paris 17e,2,10,False,True,C1,480,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1832155,https://fr.getaround.com/location-voiture/puteaux/volkswagen-polo-1832155,Volkswagen Polo (2013),2013,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,True,65.0,,,,Puteaux,Puteaux,Puteaux|Paris 17e,2,11,False,True,C3,400,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1881691,https://fr.getaround.com/location-voiture/puteaux/opel-corsa-1881691,Opel Corsa (2017),2017,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,67.0,,4.5,2,Puteaux,Puteaux,Puteaux|Paris 17e,2,13,False,True,C2,480,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1881624,https://fr.getaround.com/location-voiture/puteaux/renault-twingo-iii-1881624,Renault Twingo III (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,68.0,,5.0,1,Puteaux,Puteaux,Puteaux|Paris 17e,2,14,False,True,C2,480,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1832153,https://fr.getaround.com/location-voiture/puteaux/volkswagen-tiguan-1832153,Volkswagen Tiguan (2015),2015,Getaround Connect,SUV_FAMILIAL,SEGMENT_RULES,THERMIQUE,True,83.0,,1.0,1,Puteaux,Puteaux,Puteaux|Paris 17e,2,16,False,True,C3,400,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1718469,https://fr.getaround.com/location-voiture/puteaux/peugeot-5008-1718469,Peugeot 5008 (2014),2014,Sur rendez-vous,MONOSPACE,SEGMENT_RULES,THERMIQUE,True,119.0,,3.5,2,Puteaux,Puteaux,Puteaux|Paris 17e,2,20,False,True,C3,400,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1913338,https://fr.getaround.com/location-voiture/puteaux/ford-c-max-1913338,Ford C-Max (2019),2019,Getaround Connect,MONOSPACE,SEGMENT_RULES,THERMIQUE,True,83.0,,,,Puteaux,Puteaux,Puteaux|Paris 17e,2,21,False,True,C3,480,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1881118,https://fr.getaround.com/location-voiture/puteaux/peugeot-208-1881118,Peugeot 208 (2019),2019,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,72.0,,3.5,2,Puteaux,Puteaux,Puteaux|Paris 17e,2,22,False,True,C2,480,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,716035,https://fr.getaround.com/location-voiture/puteaux/citroen-c3-716035,Citroen C3 (2016),2016,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,False,62.0,,4.54,35,Puteaux,Puteaux,Puteaux|Paris 17e,2,25,False,True,C1,480,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1881415,https://fr.getaround.com/location-voiture/puteaux/renault-twingo-1881415,Renault Twingo (2017),2017,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,70.0,,,,Puteaux,Puteaux,Puteaux|Paris 17e,2,29,False,True,C2,480,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1881636,https://fr.getaround.com/location-voiture/puteaux/peugeot-108-1881636,Peugeot 108 (2019),2019,Getaround Connect,MICRO_CITADINE,SEGMENT_RULES,THERMIQUE,True,69.0,,3.5,4,Puteaux,Puteaux,Puteaux|Paris 17e,2,31,False,True,C2,480,477,1
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1859070,https://fr.getaround.com/location-voiture/puteaux/audi-a1-1859070,Audi A1 (2011),2011,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,False,79.0,,,,Puteaux,Puteaux,Puteaux|Paris 17e,2,47,False,True,C3,480,477,2
20260802T110238,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1825239,https://fr.getaround.com/location-voiture/asnieres-sur-seine/renault-twingo-iii-1825239,Renault Twingo III (2017),2017,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,67.0,,5.0,7,Puteaux,Asnieres Sur Seine,Puteaux|Paris 17e,2,327,False,True,C3,6580,477,9
